case_id,docket_no,title,state,date,type,pending,opinion_link
24-0353_Iowa_2026/03/17,24-0353,State v. Pagliai,Iowa,"March 17, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_iowa-opinion.pdf
2516-CV29597_Missouri_2026/05/12,2516-CV29597,Wise v. State; Healey v. State,Missouri,"May 12, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-05/opinion_sc101570_and_sc101572.pdf
25-0139_Montana_2026/04/14,25-0139,Kalarchik v. State,Montana,"April 14, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_court_of_montana-opinion.pdf
2024AP000126_Wisconsin_2026/04/10,2024AP000126,Wren v. Columbia St. Mary’s Hospital,Wisconsin,"April 10, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_court_of_wisconsin-opinion.pdf
122686_Oklahoma_2026/04/07,122686,Keenen v. Russ,Oklahoma,"April 7, 2026",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_court_of_oklahoma-opinion_0.pdf
24-0102_Texas_2026/05/08,24-0102,J.P. Morgan Chase v. City of Corsicana,Texas,"May 8, 2026",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/2026-05/240102.pdf
2026-SC-0122;-2026-SC-0124_Kentucky_2026/04/06,2026-SC-0122; 2026-SC-0124,Goodman v. Nemes,Kentucky,"April 6, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_court_of_kentucky-opinion.pdf
S257844_California_2025/12/29,S257844,People v. Kopp,California,"December 29, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_california-opinion.pdf
A23-1544_Minnesota_2025/12/24,A23-1544,Thigpen v. Best Home Care,Minnesota,"December 24, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_minnesota-opinion.pdf
S277910_California_2026/04/30,S277910,In re Kowalczyk,California,"April 30, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-05/s277910.pdf
2026-ME-32_Maine_2026/04/06,2026 ME 32,In the Matter of Request for Opinion of the Justices,Maine,"April 6, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_judicial_court_of_maine-opinion.pdf
2024-0303_Ohio_2026/04/28,2024-0303,In re L.E.S.,Ohio,"April 28, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-04/2026-ohio-1449.pdf
24-0384;-24-0385;-24-0387_Texas_2026/04/24,24-0384; 24-0385; 24-0387,Muth v. Voe; Doe v. Abbott; Muth v. PFLAG,Texas,"April 24, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_court_of_texas-concurring_opinion_blacklock.pdf
CR-24-690_Arkansas_2026/03/05,CR-24-690,Gamble v. State,Arkansas,"March 5, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-03/gamble_v-state.pdf
