court_id,name,court_level,court_type,bench_size,selection_jurisdiction,selection_method,selection_type,term_length,url
ri,Supreme Court of Rhode Island,sup,Supreme Court,5,statewide,gubernatorial appointment from nominating commission with house and senate confirmation,appointment,,http://www.courts.ri.gov/courts/supremecourt/default.aspx
sc,Supreme Court of South Carolina,sup,Supreme Court,5,statewide,legislative election,,10,http://www.judicial.state.sc.us/supreme/
scctapp,Court of Appeals of South Carolina,apl,Court of Appeal,9,statewide,legislative election,,6,http://www.judicial.state.sc.us/appeals/
sd,South Dakota Supreme Court,sup,Supreme Court,5,district appointment; statewide retention,gubernatorial appointment from nominating commission,appointment,8,http://www.sdjudicial.com/
tenn,Tennessee Supreme Court,sup,Supreme Court,5,statewide,gubernatorial appointment with joint House/Senate confirmation,appointment,8,https://www.tncourts.gov/courts/supreme-court
tennctapp,Court of Appeals of Tennessee,apl,Court of Appeal,12,statewide,gubernatorial appointment with joint House/Senate confirmation,appointment,8,http://www.tncourts.gov/courts/court-appeals
tenncrimapp,Court of Criminal Appeals of Tennessee,apl,Court of Criminal Appeals,12,statewide,gubernatorial appointment with joint House/Senate confirmation,appointment,8,http://www.tsc.state.tn.us/courts/court-criminal-appeals
tennworkcompcl,Tennessee Court of Workers' Compensation Claims,lwr,,,,,,,https://www.tn.gov/workforce/injuries-at-work/bureau-services/bureau-services/court-of-wc-claims.html
tennworkcompapp,Tennessee Workers' Compensation Appeals Board,lwr,,,,,,,https://www.tn.gov/workforce/injuries-at-work/bureau-services/bureau-services/appeals-board.html
tex,Texas Supreme Court,sup,Supreme Court,9,statewide,partisan election,partisan election,6,http://www.supreme.courts.state.tx.us/
texapp,Court of Appeals of Texas,apl,Court of Appeal,80,district,partisan election,partisan election,6,http://www.courts.state.tx.us/courts/coa.asp
texbizct,Texas Business Court,lwr,,,,,,,https://www.txcourts.gov/businesscourt/
utah,Utah Supreme Court,sup,Supreme Court,5,statewide,gubernatorial appointment from nominating commission with senate confirmation,appointment,10,http://www.utcourts.gov/opinions/supopin/index.htm
utahctapp,Court of Appeals of Utah,apl,Court of Appeal,7,statewide,gubernatorial appointment from nominating commission with senate confirmation,appointment,6,http://www.utcourts.gov/courts/appell/
